trade_date,product_id,instrument_id,total_return_final,total_return_unclose,total_fee,unclosed_value,precision,long_open,short_open,correct_long_open,wrong_long_open,correct_short_open,wrong_short_open,average_holding_time,max_holding_time,min_holding_time
2021-12-01,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-02,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-03,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-01,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-02,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-03,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-01,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-02,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-01,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-02,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-03,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-01,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-02,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-03,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-01,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-02,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-03,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-01,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-02,rb,rb2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-02,rb,rb2205,-5625.0,-5150.0,575.0,21240.0,0.3478260869565217,10.0,13.0,3.0,7.0,5.0,8.0,1506.695652173913,21647.0,37.0
2021-12-03,rb,rb2205,-6500.0,-6600.0,675.0,21670.0,0.4814814814814814,18.0,9.0,10.0,8.0,3.0,6.0,1312.888888888889,21910.0,119.0
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-02,rb,rb2205,-5625.0,-5150.0,575.0,21240.0,0.3478260869565217,10.0,13.0,3.0,7.0,5.0,8.0,1506.695652173913,21647.0,37.0
2021-12-03,rb,rb2205,-6500.0,-6600.0,675.0,21670.0,0.4814814814814814,18.0,9.0,10.0,8.0,3.0,6.0,1312.888888888889,21910.0,119.0
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-02,rb,rb2205,-5625.0,-5150.0,575.0,21240.0,0.3478260869565217,10.0,13.0,3.0,7.0,5.0,8.0,1506.695652173913,21647.0,37.0
2021-12-03,rb,rb2205,-6500.0,-6600.0,675.0,21670.0,0.4814814814814814,18.0,9.0,10.0,8.0,3.0,6.0,1312.888888888889,21910.0,119.0
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-02,rb,rb2205,-5625.0,-5150.0,575.0,21240.0,0.3478260869565217,10.0,13.0,3.0,7.0,5.0,8.0,1506.695652173913,21647.0,37.0
2021-12-03,rb,rb2205,-6500.0,-6600.0,675.0,21670.0,0.4814814814814814,18.0,9.0,10.0,8.0,3.0,6.0,1312.888888888889,21910.0,119.0
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-02,rb,rb2205,-5625.0,-5150.0,575.0,21240.0,0.3478260869565217,10.0,13.0,3.0,7.0,5.0,8.0,1506.695652173913,21647.0,37.0
2021-12-03,rb,rb2205,-6500.0,-6600.0,675.0,21670.0,0.4814814814814814,18.0,9.0,10.0,8.0,3.0,6.0,1312.888888888889,21910.0,119.0
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-02,rb,rb2205,-5625.0,-5150.0,575.0,21240.0,0.3478260869565217,10.0,13.0,3.0,7.0,5.0,8.0,1506.695652173913,21647.0,37.0
2021-12-03,rb,rb2205,-6500.0,-6600.0,675.0,21670.0,0.4814814814814814,18.0,9.0,10.0,8.0,3.0,6.0,1312.888888888889,21910.0,119.0
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-02,rb,rb2205,-5625.0,-5150.0,575.0,21240.0,0.3478260869565217,10.0,13.0,3.0,7.0,5.0,8.0,1506.695652173913,21647.0,37.0
2021-12-03,rb,rb2205,-6500.0,-6600.0,675.0,21670.0,0.4814814814814814,18.0,9.0,10.0,8.0,3.0,6.0,1312.888888888889,21910.0,119.0
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-02,rb,rb2205,-5625.0,-5150.0,575.0,21240.0,0.3478260869565217,10.0,13.0,3.0,7.0,5.0,8.0,1506.695652173913,21647.0,37.0
2021-12-03,rb,rb2205,-6500.0,-6600.0,675.0,21670.0,0.4814814814814814,18.0,9.0,10.0,8.0,3.0,6.0,1312.888888888889,21910.0,119.0
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-02,rb,rb2205,-5625.0,-5150.0,575.0,21240.0,0.3478260869565217,10.0,13.0,3.0,7.0,5.0,8.0,1506.695652173913,21647.0,37.0
2021-12-03,rb,rb2205,-6500.0,-6600.0,675.0,21670.0,0.4814814814814814,18.0,9.0,10.0,8.0,3.0,6.0,1312.888888888889,21910.0,119.0
2021-12-01,rb,rb2205,-1000.0,-1000.0,600.0,0.0,0.5,17.0,7.0,11.0,6.0,1.0,6.0,934.5,7859.0,77.0
2021-12-02,rb,rb2205,-5625.0,-5150.0,575.0,21240.0,0.3478260869565217,10.0,13.0,3.0,7.0,5.0,8.0,1506.695652173913,21647.0,37.0
2021-12-03,rb,rb2205,-6500.0,-6600.0,675.0,21670.0,0.48148148148148145,18.0,9.0,10.0,8.0,3.0,6.0,1312.888888888889,21910.0,119.0
