idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
2751,bu2106,short_open,2724.0,2722.0,5,2722.0,13.799999999999999,09:23:00.000,09:23:00.000,0.0,0.0,2021-02-01
3170,bu2106,short_close,2730.0,2730.0,5,2722.0,13.799999999999999,09:23:00.000,2021-02-01 09:26:30.000,210.0,-413.8,2021-02-01
5106,bu2106,short_open,2724.0,2722.0,5,2722.0,13.799999999999999,09:43:00.000,09:43:00.000,0.0,0.0,2021-02-01
8331,bu2106,short_close,2730.0,2732.0,5,2722.0,13.799999999999999,09:43:00.000,2021-02-01 10:11:30.000,1710.0,-513.8000000000001,2021-02-01
8987,bu2106,long_open,2730.0,2732.0,5,2732.0,13.799999999999999,10:32:00.000,10:32:00.000,0.0,0.0,2021-02-01
12829,bu2106,long_close,2744.0,2742.0,5,2732.0,13.799999999999999,10:32:00.000,11:06:30.000,2070.0,486.2,2021-02-01
6524,bu2106,short_open,2804.0,2802.0,5,2802.0,14.0,09:55:00.000,09:55:00.000,0.0,0.0,2021-02-02
6944,bu2106,short_close,2810.0,2810.0,5,2802.0,14.0,09:55:00.000,2021-02-02 09:58:30.500,210.0,-414.0,2021-02-02
20692,bu2106,long_open,2800.0,2800.0,5,2800.0,14.0,14:12:00.000,14:12:00.000,0.0,0.0,2021-02-02
21268,bu2106,long_close,2792.0,2792.0,5,2800.0,14.0,14:12:00.000,14:17:00.000,300.0,-414.0,2021-02-02
2727,bu2106,long_open,2808.0,2808.0,5,2808.0,14.1,09:23:00.000,09:23:00.000,0.0,0.0,2021-02-03
2906,bu2106,long_close,2800.0,2798.0,5,2808.0,14.1,09:23:00.000,09:24:30.000,90.0,-514.0999999999999,2021-02-03
21872,bu2106,long_open,2954.0,2956.0,5,2956.0,14.7,14:33:00.000,14:33:00.000,0.0,0.0,2021-02-09
23209,bu2106,long_close,2948.0,2946.0,5,2956.0,14.7,14:33:00.000,14:45:30.000,750.0,-514.7,2021-02-09
33025,bu2106,long_open,3052.0,3054.0,5,3054.0,15.049999999999999,22:01:00.000,22:01:00.000,0.0,0.0,2021-02-19
34089,bu2106,long_close,3064.0,3062.0,5,3054.0,15.049999999999999,22:01:00.000,22:10:30.500,570.0,384.95,2021-02-19
37177,bu2106,long_open,3060.0,3060.0,5,3060.0,15.049999999999999,22:38:00.000,22:38:00.000,0.0,0.0,2021-02-19
38551,bu2106,long_close,3050.0,3050.0,5,3060.0,15.049999999999999,22:38:00.000,22:50:30.000,750.0,-515.0500000000001,2021-02-19
32059,bu2106,short_open,2990.0,2990.0,5,2990.0,15.149999999999999,21:59:00.000,21:59:00.000,0.0,0.0,2021-02-22
35560,bu2106,short_close,3000.0,3000.0,5,2990.0,15.149999999999999,21:59:00.000,2021-02-19 22:31:00.500,1920.0,-515.15,2021-02-22
22954,bu2106,short_open,3156.0,3154.0,5,3154.0,15.649999999999999,14:30:00.000,14:30:00.000,0.0,0.0,2021-02-23
23486,bu2106,short_close,3164.0,3164.0,5,3154.0,15.649999999999999,14:30:00.000,2021-02-23 14:34:30.500,270.0,-515.65,2021-02-23
24923,bu2106,long_open,3150.0,3152.0,5,3152.0,15.649999999999999,14:47:00.000,14:47:00.000,0.0,0.0,2021-02-23
25342,bu2106,long_close,3142.0,3142.0,5,3152.0,15.649999999999999,14:47:00.000,14:50:30.000,210.0,-515.65,2021-02-23
12335,bu2106,long_open,3148.0,3150.0,5,3150.0,15.799999999999999,11:03:00.000,11:03:00.000,0.0,0.0,2021-02-24
13975,bu2106,long_close,3160.0,3158.0,5,3150.0,15.799999999999999,11:03:00.000,11:19:00.000,960.0,384.20000000000005,2021-02-24
13415,bu2106,long_open,3316.0,3316.0,5,3316.0,16.4,11:11:00.000,11:11:00.000,0.0,0.0,2021-02-25
15928,bu2106,long_close,3326.0,3324.0,5,3316.0,16.4,11:11:00.000,13:34:00.000,8580.0,383.6,2021-02-25
23203,bu2106,long_open,3318.0,3320.0,5,3320.0,16.4,14:38:00.000,14:38:00.000,0.0,0.0,2021-02-25
25772,bu2106,long_close,3198.0,3198.0,5,3320.0,16.4,14:38:00.000,21:00:00.500,22920.0,-6116.4,2021-02-25
3922,bu2106,long_open,3250.0,3250.0,5,3250.0,16.4,09:33:00.000,09:33:00.000,0.0,0.0,2021-02-26
4332,bu2106,long_close,3260.0,3258.0,5,3250.0,16.4,09:33:00.000,09:36:30.500,210.0,383.6,2021-02-26
10446,bu2106,short_open,3264.0,3262.0,5,3262.0,16.4,10:45:00.000,10:45:00.000,0.0,0.0,2021-02-26
14123,bu2106,short_close,3252.0,3254.0,5,3262.0,16.4,10:45:00.000,2021-02-26 11:20:00.000,2100.0,383.6,2021-02-26
