idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
19744,CF105,long_open,15020.0,15020.0,2,15020.0,8.62,11:05:00.000,11:05:00.000,0.0,0.0,2021-02-01
20190,CF105,long_close,15035.0,15030.0,2,15020.0,0.0,11:05:00.000,11:08:00.000,180.0,100.0,2021-02-01
32078,CF105,long_open,15245.0,15250.0,2,15250.0,8.62,14:17:00.000,14:17:00.000,0.0,0.0,2021-02-04
32792,CF105,long_close,15275.0,15275.0,2,15250.0,0.0,14:17:00.000,14:20:00.000,180.0,250.0,2021-02-04
53414,CF105,short_open,15520.0,15520.0,2,15520.0,8.62,22:45:00.000,22:45:00.000,0.0,0.0,2021-02-09
55443,CF105,short_close,15525.0,15526.0,2,15520.0,0.0,2021-02-08 22:45:00.000,2021-02-08 22:59:59.000,899.0,-68.62,2021-02-09
6938,CF105,short_open,15685.0,15685.0,2,15685.0,8.62,09:41:00.000,09:41:00.000,0.0,0.0,2021-02-10
7594,CF105,short_close,15710.0,15710.0,2,15685.0,0.0,09:41:00.000,2021-02-10 09:45:00.000,240.0,-250.0,2021-02-10
1642,CF105,long_open,16420.0,16420.0,1,16420.0,4.31,09:07:00.000,09:07:00.000,0.0,0.0,2021-02-23
2080,CF105,long_close,16400.0,16395.0,1,16420.0,0.0,09:07:00.000,09:09:00.000,120.0,-125.0,2021-02-23
3282,CF105,long_open,16430.0,16430.0,1,16430.0,4.31,09:15:00.000,09:15:00.000,0.0,0.0,2021-02-23
4044,CF105,long_close,16410.0,16410.0,1,16430.0,0.0,09:15:00.000,09:19:30.000,270.0,-100.0,2021-02-23
24017,CF105,short_open,16525.0,16525.0,1,16525.0,4.31,11:18:00.000,11:18:00.000,0.0,0.0,2021-02-23
24136,CF105,short_close,16550.0,16550.0,1,16525.0,0.0,11:18:00.000,2021-02-23 11:18:30.000,30.0,-125.0,2021-02-23
43014,CF105,short_open,16295.0,16295.0,1,16295.0,4.31,14:50:00.000,14:50:00.000,0.0,0.0,2021-02-23
43124,CF105,short_close,16315.0,16315.0,1,16295.0,0.0,14:50:00.000,2021-02-23 14:50:30.000,30.0,-100.0,2021-02-23
41357,CF105,long_open,16290.0,16290.0,1,16290.0,4.31,21:00:00.000,21:00:00.000,0.0,0.0,2021-02-24
41474,CF105,long_close,16265.0,16265.0,1,16290.0,0.0,21:00:00.000,21:00:30.000,30.0,-125.0,2021-02-24
72867,CF105,short_open,16515.0,16515.0,1,16515.0,4.31,22:53:00.000,22:53:00.000,0.0,0.0,2021-02-25
73224,CF105,short_close,16495.0,16500.0,1,16515.0,0.0,22:53:00.000,2021-02-24 22:54:30.000,90.0,75.0,2021-02-25
3837,CF105,long_open,16195.0,16205.0,1,16205.0,4.31,09:16:00.000,09:16:00.000,0.0,0.0,2021-02-26
3954,CF105,long_close,16225.0,16225.0,1,16205.0,0.0,09:16:00.000,09:16:30.000,30.0,100.0,2021-02-26
32228,CF105,short_open,16250.0,16250.0,1,16250.0,4.31,13:57:00.000,13:57:00.000,0.0,0.0,2021-02-26
32772,CF105,short_close,16280.0,16280.0,1,16250.0,0.0,13:57:00.000,2021-02-26 14:00:00.000,180.0,-150.0,2021-02-26
