idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
5610,cu2103,short_open,57230.0,57220.0,5,57220.0,71.44999999999999,10:06:00.000,10:06:00.000,0.0,0.0,2021-02-03
6606,cu2103,short_close,57130.0,57140.0,5,57220.0,142.9,10:06:00.000,2021-02-03 10:33:30.000,1650.0,1857.1000000000001,2021-02-03
2118,cu2103,short_open,57690.0,57690.0,5,57690.0,72.1,09:24:00.000,09:24:00.000,0.0,0.0,2021-02-04
3108,cu2103,short_close,57590.0,57600.0,5,57690.0,144.15,09:24:00.000,2021-02-04 09:37:00.000,780.0,2105.85,2021-02-04
16765,cu2103,short_open,57790.0,57795.0,5,57795.0,72.1,14:39:00.000,14:39:00.000,0.0,0.0,2021-02-04
18797,cu2103,short_close,57400.0,57410.0,5,57795.0,144.15,14:39:00.000,2021-02-03 21:00:00.500,22860.0,9480.85,2021-02-04
22628,cu2103,long_open,57390.0,57390.0,5,57390.0,72.1,21:39:00.000,21:39:00.000,0.0,0.0,2021-02-04
23694,cu2103,long_close,57480.0,57460.0,5,57390.0,144.15,21:39:00.000,21:51:30.000,750.0,1605.8500000000001,2021-02-04
22420,cu2103,long_open,57890.0,57900.0,5,57900.0,72.45,21:44:00.000,21:44:00.000,0.0,0.0,2021-02-05
22898,cu2103,long_close,57810.0,57810.0,5,57900.0,144.8,21:44:00.000,21:49:30.000,330.0,-2394.7999999999997,2021-02-05
7504,cu2103,short_open,58790.0,58790.0,5,58790.0,73.3,10:37:00.000,10:37:00.000,0.0,0.0,2021-02-08
10704,cu2103,short_close,58680.0,58685.0,5,58790.0,146.55,10:37:00.000,2021-02-08 11:24:00.000,2820.0,2478.45,2021-02-08
24041,cu2104,short_open,59620.0,59610.0,5,59610.0,75.35,21:31:00.000,21:31:00.000,0.0,0.0,2021-02-10
24616,cu2104,short_close,59710.0,59710.0,5,59610.0,150.65,21:31:00.000,2021-02-09 21:39:00.000,480.0,-2650.65,2021-02-10
1066,cu2104,long_open,67230.0,67240.0,5,67240.0,84.50000000000001,09:09:00.000,09:09:00.000,0.0,0.0,2021-02-23
1623,cu2104,long_close,67330.0,67330.0,5,67240.0,168.95,09:09:00.000,09:14:00.000,300.0,2081.0499999999997,2021-02-23
5242,cu2104,long_open,67270.0,67270.0,5,67270.0,84.50000000000001,09:48:00.000,09:48:00.000,0.0,0.0,2021-02-23
5949,cu2104,long_close,67380.0,67380.0,5,67270.0,168.95,09:48:00.000,09:55:00.000,420.0,2581.05,2021-02-23
27532,cu2104,short_open,67240.0,67220.0,5,67220.0,84.50000000000001,21:14:00.000,21:14:00.000,0.0,0.0,2021-02-23
28953,cu2104,short_close,67110.0,67120.0,5,67220.0,168.95,21:14:00.000,2021-02-22 21:26:00.000,720.0,2331.0499999999997,2021-02-23
9490,cu2104,short_open,68360.0,68360.0,5,68360.0,84.65000000000002,10:37:00.000,10:37:00.000,0.0,0.0,2021-02-24
9943,cu2104,short_close,68230.0,68250.0,5,68360.0,169.3,10:37:00.000,2021-02-24 10:41:00.000,240.0,2580.7,2021-02-24
