idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
9286,fu2105,short_open,2142.0,2142.0,11,2142.0,11.99,10:33:00.000,10:33:00.000,0.0,0.0,2021-02-01
9585,fu2105,short_close,2138.0,2139.0,11,2142.0,0.0,10:33:00.000,2021-02-01 10:35:30.000,150.0,330.0,2021-02-01
13225,fu2105,short_open,2223.0,2222.0,10,2222.0,11.200000000000001,11:07:00.000,11:07:00.000,0.0,0.0,2021-02-03
14743,fu2105,short_close,2218.0,2219.0,10,2222.0,0.0,11:07:00.000,2021-02-03 11:20:30.500,810.0,300.0,2021-02-03
12882,fu2105,long_open,2249.0,2249.0,10,2249.0,11.3,11:04:00.000,11:04:00.000,0.0,0.0,2021-02-04
14078,fu2105,long_close,2243.0,2243.0,10,2249.0,0.0,11:04:00.000,11:14:00.000,600.0,-600.0,2021-02-04
20040,fu2105,short_open,2231.0,2231.0,10,2231.0,11.3,14:04:00.000,14:04:00.000,0.0,0.0,2021-02-04
20457,fu2105,short_close,2227.0,2228.0,10,2231.0,0.0,14:04:00.000,2021-02-04 14:07:30.000,210.0,300.0,2021-02-04
30871,fu2105,long_open,2240.0,2241.0,10,2241.0,11.3,21:35:00.000,21:35:00.000,0.0,0.0,2021-02-05
32178,fu2105,long_close,2237.0,2237.0,10,2241.0,0.0,21:35:00.000,21:46:00.000,660.0,-400.0,2021-02-05
33967,fu2105,short_open,2245.0,2244.0,10,2244.0,11.3,22:01:00.000,22:01:00.000,0.0,0.0,2021-02-05
34208,fu2105,short_close,2240.0,2241.0,10,2244.0,0.0,22:01:00.000,2021-02-04 22:03:00.500,120.0,300.0,2021-02-05
28509,fu2105,long_open,2262.0,2263.0,10,2263.0,11.5,21:15:00.000,21:15:00.000,0.0,0.0,2021-02-08
28928,fu2105,long_close,2274.0,2273.0,10,2263.0,0.0,21:15:00.000,21:18:30.000,210.0,1000.0,2021-02-08
31868,fu2105,short_open,2256.0,2256.0,10,2256.0,11.5,21:43:00.000,21:43:00.000,0.0,0.0,2021-02-08
34006,fu2105,short_close,2260.0,2260.0,10,2256.0,0.0,21:43:00.000,2021-02-05 22:01:00.000,1080.0,-400.0,2021-02-08
3352,fu2105,short_open,2295.0,2295.0,10,2295.0,11.6,09:28:00.000,09:28:00.000,0.0,0.0,2021-02-09
5740,fu2105,short_close,2299.0,2299.0,10,2295.0,0.0,09:28:00.000,2021-02-09 09:48:30.000,1230.0,-400.0,2021-02-09
17847,fu2105,short_open,2335.0,2334.0,10,2334.0,11.6,13:46:00.000,13:46:00.000,0.0,0.0,2021-02-09
17907,fu2105,short_close,2340.0,2341.0,10,2334.0,0.0,13:46:00.000,2021-02-09 13:46:30.000,30.0,-700.0,2021-02-09
30695,fu2105,long_open,2301.0,2301.0,10,2301.0,11.5,21:39:00.000,21:39:00.000,0.0,0.0,2021-02-10
30934,fu2105,long_close,2305.0,2305.0,10,2301.0,0.0,21:39:00.000,21:41:00.000,120.0,400.0,2021-02-10
15369,fu2105,long_open,2403.0,2403.0,10,2403.0,12.1,11:25:00.000,11:25:00.000,0.0,0.0,2021-02-18
15787,fu2105,long_close,2399.0,2399.0,10,2403.0,0.0,11:25:00.000,11:28:30.000,210.0,-400.0,2021-02-18
18024,fu2105,long_open,2340.0,2341.0,9,2341.0,10.709999999999999,13:46:00.000,13:46:00.000,0.0,0.0,2021-02-19
19034,fu2105,long_close,2337.0,2337.0,9,2341.0,0.0,13:46:00.000,13:54:30.000,510.0,-360.0,2021-02-19
22216,fu2105,long_open,2362.0,2362.0,10,2362.0,11.899999999999999,14:22:00.000,14:22:00.000,0.0,0.0,2021-02-22
23512,fu2105,long_close,2366.0,2365.0,10,2362.0,0.0,14:22:00.000,14:33:00.500,660.0,300.0,2021-02-22
24345,fu2105,short_open,2362.0,2362.0,10,2362.0,11.899999999999999,14:40:00.000,14:40:00.000,0.0,0.0,2021-02-22
26301,fu2105,short_close,2358.0,2359.0,10,2362.0,0.0,14:40:00.000,2021-02-22 14:56:30.000,990.0,300.0,2021-02-22
30186,fu2105,short_open,2335.0,2335.0,10,2335.0,11.899999999999999,21:29:00.000,21:29:00.000,0.0,0.0,2021-02-22
30426,fu2105,short_close,2339.0,2339.0,10,2335.0,0.0,21:29:00.000,2021-02-19 21:31:00.000,120.0,-400.0,2021-02-22
31145,fu2105,long_open,2340.0,2340.0,10,2340.0,11.899999999999999,21:37:00.000,21:37:00.000,0.0,0.0,2021-02-22
33346,fu2105,long_close,2344.0,2344.0,10,2340.0,0.0,21:37:00.000,21:55:30.000,1110.0,400.0,2021-02-22
18897,fu2105,short_open,2460.0,2460.0,10,2460.0,12.2,13:53:00.000,13:53:00.000,0.0,0.0,2021-02-23
19731,fu2105,short_close,2453.0,2453.0,10,2460.0,0.0,13:53:00.000,2021-02-23 14:00:00.000,420.0,700.0,2021-02-23
