idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
22623,ni2104,long_open,132750.0,132760.0,1,132760.0,3.01,14:24:00.000,14:24:00.000,0.0,0.0,2021-02-01
23280,ni2104,long_close,132620.0,132620.0,1,132760.0,3.01,14:24:00.000,14:29:30.000,330.0,-143.01,2021-02-01
24658,ni2104,short_open,132810.0,132810.0,1,132810.0,3.01,14:41:00.000,14:41:00.000,0.0,0.0,2021-02-01
24838,ni2104,short_close,132970.0,132960.0,1,132810.0,3.01,14:41:00.000,2021-02-01 14:42:30.000,90.0,-153.01,2021-02-01
31018,ni2104,long_open,132590.0,132600.0,1,132600.0,3.01,21:34:00.000,21:34:00.000,0.0,0.0,2021-02-01
31078,ni2104,long_close,132710.0,132700.0,1,132600.0,3.01,21:34:00.000,21:34:30.000,30.0,96.99,2021-02-01
26316,ni2104,short_open,131130.0,131120.0,1,131120.0,3.01,14:55:00.000,14:55:00.000,0.0,0.0,2021-02-02
26796,ni2104,short_close,131030.0,131030.0,1,131120.0,3.01,14:55:00.000,2021-02-02 14:59:00.000,240.0,86.99,2021-02-02
6345,ni2104,short_open,134920.0,134910.0,1,134910.0,3.01,09:53:00.000,09:53:00.000,0.0,0.0,2021-02-10
7058,ni2104,short_close,135100.0,135110.0,1,134910.0,3.01,09:53:00.000,2021-02-10 09:59:00.000,360.0,-203.01,2021-02-10
13137,ni2104,short_open,138500.0,138500.0,1,138500.0,3.01,11:05:00.000,11:05:00.000,0.0,0.0,2021-02-18
13898,ni2104,short_close,138390.0,138400.0,1,138500.0,3.01,11:05:00.000,2021-02-18 11:11:30.000,390.0,96.99,2021-02-18
12513,ni2104,short_open,141660.0,141660.0,1,141660.0,3.01,11:00:00.000,11:00:00.000,0.0,0.0,2021-02-19
12573,ni2104,short_close,141570.0,141580.0,1,141660.0,3.01,11:00:00.000,2021-02-19 11:00:30.000,30.0,76.99,2021-02-19
11189,ni2104,short_open,146930.0,146930.0,1,146930.0,3.01,10:49:00.000,10:49:00.000,0.0,0.0,2021-02-22
11366,ni2104,short_close,146840.0,146840.0,1,146930.0,3.01,10:49:00.000,2021-02-22 10:50:30.000,90.0,86.99,2021-02-22
11778,ni2104,long_open,146960.0,146970.0,1,146970.0,3.01,10:54:00.000,10:54:00.000,0.0,0.0,2021-02-22
12255,ni2104,long_close,147060.0,147050.0,1,146970.0,3.01,10:54:00.000,10:58:00.500,240.0,76.99,2021-02-22
22219,ni2104,long_open,145700.0,145710.0,1,145710.0,3.01,14:23:00.000,14:23:00.000,0.0,0.0,2021-02-23
22392,ni2104,long_close,145550.0,145550.0,1,145710.0,3.01,14:23:00.000,14:24:30.000,90.0,-163.01,2021-02-23
