idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
18354,RM105,long_open,2882.0,2882.0,8,2882.0,12.08,13:50:00.000,13:50:00.000,0.0,0.0,2021-02-01
19789,RM105,long_close,2875.0,2875.5,8,2882.0,12.08,13:50:00.000,14:02:30.000,750.0,-532.08,2021-02-01
10276,RM105,short_open,2819.0,2818.0,8,2818.0,12.08,10:46:00.000,10:46:00.000,0.0,0.0,2021-02-02
10747,RM105,short_close,2824.0,2824.0,8,2818.0,12.08,10:46:00.000,2021-02-02 10:50:00.000,240.0,-492.08,2021-02-02
24384,RM105,short_open,2807.0,2807.0,8,2807.0,12.08,14:47:00.000,14:47:00.000,0.0,0.0,2021-02-02
25496,RM105,short_close,2813.0,2813.0,8,2807.0,12.08,14:47:00.000,2021-02-02 14:56:30.000,570.0,-492.08,2021-02-02
36632,RM105,long_open,2837.0,2837.0,8,2837.0,12.08,22:32:00.000,22:32:00.000,0.0,0.0,2021-02-02
38773,RM105,long_close,2830.0,2830.0,8,2837.0,12.08,22:32:00.000,22:50:00.000,1080.0,-572.08,2021-02-02
18140,RM105,long_open,2914.0,2914.0,8,2914.0,12.08,13:51:00.000,13:51:00.000,0.0,0.0,2021-02-05
18671,RM105,long_close,2907.0,2907.0,8,2914.0,12.08,13:51:00.000,13:55:30.000,270.0,-572.08,2021-02-05
29579,RM105,short_open,2889.0,2888.0,8,2888.0,12.08,21:28:00.000,21:28:00.000,0.0,0.0,2021-02-05
30353,RM105,short_close,2882.0,2883.0,8,2888.0,12.08,21:28:00.000,2021-02-04 21:34:30.000,390.0,387.92,2021-02-05
26234,RM105,short_open,2883.0,2882.0,8,2882.0,12.08,21:05:00.000,21:05:00.000,0.0,0.0,2021-02-09
26593,RM105,short_close,2876.0,2877.0,8,2882.0,12.08,21:05:00.000,2021-02-08 21:08:00.000,180.0,387.92,2021-02-09
36354,RM105,long_open,2973.0,2974.0,8,2974.0,12.08,22:31:00.000,22:31:00.000,0.0,0.0,2021-02-19
37650,RM105,long_close,2965.0,2965.0,8,2974.0,12.08,22:31:00.000,22:42:00.000,660.0,-732.08,2021-02-19
26247,RM105,long_open,3071.0,3072.0,7,3072.0,10.57,21:02:00.000,21:02:00.000,0.0,0.0,2021-02-25
26427,RM105,long_close,3064.0,3064.0,7,3072.0,10.57,21:02:00.000,21:03:30.000,90.0,-570.57,2021-02-25
26632,RM105,short_open,3035.0,3034.0,7,3034.0,10.57,21:32:00.000,21:32:00.000,0.0,0.0,2021-02-26
26871,RM105,short_close,3028.0,3028.0,7,3034.0,10.57,21:32:00.000,2021-02-25 21:34:00.000,120.0,409.43,2021-02-26
27471,RM105,long_open,3010.0,3010.0,7,3010.0,10.57,21:39:00.000,21:39:00.000,0.0,0.0,2021-02-26
27830,RM105,long_close,3017.0,3017.0,7,3010.0,10.57,21:39:00.000,21:42:00.000,180.0,479.42999999999995,2021-02-26
