idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
9674,sc2103,long_open,346.8,346.9,5,346.9,100.05000000000001,11:15:00.000,11:15:00.000,0.0,0.0,2021-02-03
30975,sc2103,long_close,346.7,345.7,5,346.9,0.0,2021-02-03 11:15:00.000,2021-02-02 23:00:00.000,42300.0,-5999.999999999944,2021-02-03
14238,sc2104,short_open,378.2,378.1,5,378.1,100.05000000000001,13:46:00.000,13:46:00.000,0.0,0.0,2021-02-09
32507,sc2104,short_close,370.3,371.3,5,378.1,0.0,2021-02-09 13:46:00.000,2021-02-08 23:00:00.000,33240.0,33899.950000000055,2021-02-09
8017,sc2104,long_open,398.2,398.3,5,398.3,100.05000000000001,10:14:00.000,10:14:00.000,0.0,0.0,2021-02-18
21260,sc2104,long_close,399.0,398.0,5,398.3,0.0,2021-02-18 10:14:00.000,2021-02-18 14:59:59.500,17159.0,-1500.0000000000568,2021-02-18
25619,sc2104,short_open,398.7,398.75,5,398.75,100.05000000000001,21:23:00.000,21:23:00.000,0.0,0.0,2021-02-19
35848,sc2104,short_close,397.7,398.7,5,398.75,0.0,2021-02-18 21:23:00.000,2021-02-18 23:00:00.000,5820.0,149.95000000005683,2021-02-19
28421,sc2104,short_open,387.8,387.7,5,387.7,100.05000000000001,21:48:00.000,21:48:00.000,0.0,0.0,2021-02-22
36602,sc2104,short_close,393.7,394.7,5,387.7,0.0,2021-02-19 21:48:00.000,2021-02-19 23:00:00.000,4320.0,-35100.05,2021-02-22
19470,sc2104,long_open,404.0,404.1,5,404.1,100.05000000000001,14:35:00.000,14:35:00.000,0.0,0.0,2021-02-24
35155,sc2104,long_close,404.9,403.9,5,404.1,0.0,2021-02-24 14:35:00.000,2021-02-23 23:00:00.000,30300.0,-1000.0000000002274,2021-02-24
7354,sc2104,short_open,419.3,419.35,5,419.35,100.05000000000001,10:13:00.000,10:13:00.000,0.0,0.0,2021-02-25
27269,sc2104,short_close,409.3,409.25,5,419.35,0.0,10:13:00.000,2021-02-24 21:56:00.000,42180.0,50500.00000000011,2021-02-25
21000,sc2104,short_open,405.9,405.85,5,405.85,100.05000000000001,14:51:00.000,14:51:00.000,0.0,0.0,2021-02-26
35484,sc2104,short_close,411.0,412.0,5,405.85,0.0,2021-02-26 14:51:00.000,2021-02-25 23:00:00.000,29340.0,-30850.049999999886,2021-02-26
