idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
1674,SR105,long_open,5249.0,5250.0,4,5250.0,12.04,09:07:00.000,09:07:00.000,0.0,0.0,2021-02-01
4334,SR105,long_close,5261.0,5261.0,4,5250.0,0.0,09:07:00.000,09:18:30.000,690.0,440.0,2021-02-01
64884,SR105,long_open,5241.0,5242.0,4,5242.0,12.04,22:33:00.000,22:33:00.000,0.0,0.0,2021-02-01
69022,SR105,long_close,5234.0,5234.0,4,5242.0,0.0,22:33:00.000,22:55:00.000,1320.0,-320.0,2021-02-01
58539,SR105,short_open,5278.0,5277.0,4,5277.0,12.04,22:00:00.000,22:00:00.000,0.0,0.0,2021-02-02
59618,SR105,short_close,5287.0,5288.0,4,5277.0,0.0,22:00:00.000,2021-02-01 22:04:30.000,270.0,-440.0,2021-02-02
59979,SR105,short_open,5286.0,5286.0,4,5286.0,12.04,22:06:00.000,22:06:00.000,0.0,0.0,2021-02-02
64102,SR105,short_close,5294.0,5294.0,4,5286.0,0.0,22:06:00.000,2021-02-01 22:24:00.000,1080.0,-320.0,2021-02-02
2879,SR105,short_open,5326.0,5326.0,4,5326.0,12.04,09:12:00.000,09:12:00.000,0.0,0.0,2021-02-03
3956,SR105,short_close,5319.0,5319.0,4,5326.0,0.0,09:12:00.000,2021-02-03 09:16:30.000,270.0,280.0,2021-02-03
46204,SR105,short_open,5318.0,5317.0,4,5317.0,12.04,21:01:00.000,21:01:00.000,0.0,0.0,2021-02-04
48226,SR105,short_close,5309.0,5310.0,4,5317.0,0.0,21:01:00.000,2021-02-03 21:09:30.000,510.0,280.0,2021-02-04
12754,SR105,short_open,5258.0,5257.0,4,5257.0,12.04,09:57:00.000,09:57:00.000,0.0,0.0,2021-02-09
13384,SR105,short_close,5249.0,5249.0,4,5257.0,0.0,09:57:00.000,2021-02-09 10:00:00.000,180.0,320.0,2021-02-09
51525,SR105,long_open,5300.0,5300.0,4,5300.0,12.04,21:19:00.000,21:19:00.000,0.0,0.0,2021-02-09
52188,SR105,long_close,5307.0,5307.0,4,5300.0,0.0,21:19:00.000,21:22:00.000,180.0,280.0,2021-02-09
67048,SR105,short_open,5291.0,5290.0,4,5290.0,12.04,22:45:00.000,22:45:00.000,0.0,0.0,2021-02-09
68462,SR105,short_close,5272.0,5270.5,4,5290.0,0.0,22:45:00.000,2021-02-08 22:51:00.000,360.0,780.0,2021-02-09
2382,SR105,long_open,5318.0,5319.0,4,5319.0,12.04,09:10:00.000,09:10:00.000,0.0,0.0,2021-02-18
2622,SR105,long_close,5311.0,5311.0,4,5319.0,0.0,09:10:00.000,09:11:00.000,60.0,-320.0,2021-02-18
7330,SR105,long_open,5443.0,5444.0,4,5444.0,12.04,09:31:00.000,09:31:00.000,0.0,0.0,2021-02-22
7916,SR105,long_close,5433.0,5432.0,4,5444.0,0.0,09:31:00.000,09:33:30.000,150.0,-480.0,2021-02-22
720,SR105,long_open,5482.0,5482.0,4,5482.0,12.04,09:03:00.000,09:03:00.000,0.0,0.0,2021-02-23
1080,SR105,long_close,5474.0,5474.0,4,5482.0,0.0,09:03:00.000,09:04:30.000,90.0,-320.0,2021-02-23
3096,SR105,long_open,5479.0,5480.0,4,5480.0,12.04,09:13:00.000,09:13:00.000,0.0,0.0,2021-02-23
3334,SR105,long_close,5490.0,5490.0,4,5480.0,0.0,09:13:00.000,09:14:00.000,60.0,400.0,2021-02-23
4057,SR105,short_open,5474.0,5473.5,4,5473.5,12.04,09:17:00.000,09:17:00.000,0.0,0.0,2021-02-23
4414,SR105,short_close,5467.0,5467.0,4,5473.5,0.0,09:17:00.000,2021-02-23 09:18:30.000,90.0,260.0,2021-02-23
50726,SR105,long_open,5432.0,5432.0,4,5432.0,12.04,21:06:00.000,21:06:00.000,0.0,0.0,2021-02-23
52270,SR105,long_close,5424.0,5424.0,4,5432.0,0.0,21:06:00.000,21:12:30.000,390.0,-320.0,2021-02-23
13512,SR105,long_open,5517.0,5517.0,4,5517.0,12.04,09:58:00.000,09:58:00.000,0.0,0.0,2021-02-25
14904,SR105,long_close,5524.0,5523.0,4,5517.0,0.0,09:58:00.000,10:04:00.000,360.0,240.0,2021-02-25
50910,SR105,long_open,5462.0,5462.0,4,5462.0,12.04,21:04:00.000,21:04:00.000,0.0,0.0,2021-02-25
51868,SR105,long_close,5470.0,5469.0,4,5462.0,0.0,21:04:00.000,21:08:00.000,240.0,280.0,2021-02-25
57598,SR105,long_open,5452.0,5453.0,4,5453.0,12.04,22:00:00.000,22:00:00.000,0.0,0.0,2021-02-26
58316,SR105,long_close,5444.0,5444.0,4,5453.0,0.0,22:00:00.000,22:03:00.000,180.0,-360.0,2021-02-26
69309,SR105,long_open,5424.0,5424.0,4,5424.0,12.04,22:51:00.000,22:51:00.000,0.0,0.0,2021-02-26
69546,SR105,long_close,5431.0,5430.0,4,5424.0,0.0,22:51:00.000,22:52:00.000,60.0,240.0,2021-02-26
70206,SR105,short_open,5425.0,5425.5,4,5425.5,12.04,22:55:00.000,22:55:00.000,0.0,0.0,2021-02-26
71282,SR105,short_close,5419.0,5420.0,4,5425.5,0.0,22:55:00.000,2021-02-25 22:59:30.000,270.0,220.0,2021-02-26
