idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
29068,zn2103,long_open,19745.0,19745.0,2,19745.0,6.02,22:49:00.000,22:49:00.000,0.0,0.0,2021-02-01
29904,zn2103,long_close,19770.0,19765.0,2,19745.0,0.0,22:49:00.000,22:58:30.000,570.0,200.0,2021-02-01
6279,zn2103,short_open,19560.0,19555.0,2,19555.0,6.02,10:35:00.000,10:35:00.000,0.0,0.0,2021-02-03
6579,zn2103,short_close,19540.0,19545.0,2,19555.0,0.0,10:35:00.000,2021-02-03 10:39:00.500,240.0,100.0,2021-02-03
23452,zn2103,short_open,19570.0,19565.0,2,19565.0,6.02,21:39:00.000,21:39:00.000,0.0,0.0,2021-02-03
24438,zn2103,short_close,19590.0,19590.0,2,19565.0,0.0,21:39:00.000,2021-02-02 21:52:00.000,780.0,-250.0,2021-02-03
23950,zn2103,long_open,19880.0,19885.0,2,19885.0,6.02,21:57:00.000,21:57:00.000,0.0,0.0,2021-02-05
24621,zn2103,long_close,19860.0,19855.0,2,19885.0,0.0,21:57:00.000,22:05:30.000,510.0,-300.0,2021-02-05
25370,zn2103,long_open,19835.0,19840.0,2,19840.0,6.02,22:14:00.000,22:14:00.000,0.0,0.0,2021-02-05
26212,zn2103,long_close,19855.0,19850.0,2,19840.0,0.0,22:14:00.000,22:25:00.500,660.0,100.0,2021-02-05
21493,zn2103,long_open,19975.0,19975.0,2,19975.0,6.02,21:42:00.000,21:42:00.000,0.0,0.0,2021-02-08
22006,zn2103,long_close,19995.0,19990.0,2,19975.0,0.0,21:42:00.000,21:49:00.000,420.0,150.0,2021-02-08
7815,zn2103,short_open,19975.0,19975.0,2,19975.0,6.02,10:54:00.000,10:54:00.000,0.0,0.0,2021-02-09
7946,zn2103,short_close,19960.0,19960.0,2,19975.0,0.0,10:54:00.000,2021-02-09 10:56:00.000,120.0,150.0,2021-02-09
8928,zn2103,short_open,19955.0,19950.0,2,19950.0,6.02,11:10:00.000,11:10:00.000,0.0,0.0,2021-02-09
9014,zn2103,short_close,19930.0,19935.0,2,19950.0,0.0,11:10:00.000,2021-02-09 11:11:00.500,60.0,150.0,2021-02-09
18098,zn2103,short_open,20160.0,20155.0,2,20155.0,6.02,14:51:00.000,14:51:00.000,0.0,0.0,2021-02-09
18229,zn2103,short_close,20190.0,20190.0,2,20155.0,0.0,14:51:00.000,2021-02-09 14:52:30.000,90.0,-350.0,2021-02-09
17971,zn2103,long_open,20460.0,20460.0,2,20460.0,6.02,14:57:00.000,14:57:00.000,0.0,0.0,2021-02-10
18073,zn2103,long_close,20475.0,20475.0,2,20460.0,0.0,14:57:00.000,14:58:00.000,60.0,150.0,2021-02-10
1081,zn2103,long_open,21540.0,21545.0,2,21545.0,6.02,09:10:00.000,09:10:00.000,0.0,0.0,2021-02-19
1194,zn2103,long_close,21515.0,21510.0,2,21545.0,0.0,09:10:00.000,09:11:00.000,60.0,-350.0,2021-02-19
12209,zn2103,short_open,21485.0,21480.0,2,21480.0,6.02,13:38:00.000,13:38:00.000,0.0,0.0,2021-02-19
12745,zn2103,short_close,21515.0,21515.0,2,21480.0,0.0,13:38:00.000,2021-02-19 13:45:00.000,420.0,-350.0,2021-02-19
29593,zn2104,long_open,21820.0,21820.0,2,21820.0,6.02,22:10:00.000,22:10:00.000,0.0,0.0,2021-02-26
29704,zn2104,long_close,21795.0,21790.0,2,21820.0,0.0,22:10:00.000,22:11:00.000,60.0,-300.0,2021-02-26
