idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
11746,rb2105,short_open,4227.0,4227.0,14,4227.0,59.64,10:53:00.000,10:53:00.000,0.0,0.0,2021-02-01
24158,rb2105,short_close,4214.0,4215.0,14,4227.0,59.64,10:53:00.000,2021-02-01 14:37:00.000,13440.0,1620.36,2021-02-01
21296,rb2105,short_open,4161.0,4160.0,14,4160.0,58.66,14:13:00.000,14:13:00.000,0.0,0.0,2021-02-02
22136,rb2105,short_close,4148.0,4148.0,14,4160.0,58.66,14:13:00.000,2021-02-02 14:20:00.000,420.0,1621.3400000000001,2021-02-02
32335,rb2105,short_open,4212.0,4212.0,14,4212.0,58.66,21:45:00.000,21:45:00.000,0.0,0.0,2021-02-02
33769,rb2105,short_close,4224.0,4224.0,14,4212.0,58.66,21:45:00.000,2021-02-01 21:57:00.000,720.0,-1738.6599999999999,2021-02-02
6716,rb2105,long_open,4171.0,4171.0,14,4171.0,58.519999999999996,09:56:00.000,09:56:00.000,0.0,0.0,2021-02-03
9101,rb2105,long_close,4183.0,4182.0,14,4171.0,58.519999999999996,09:56:00.000,10:31:00.500,2100.0,1481.48,2021-02-03
13808,rb2105,short_open,4281.0,4280.0,14,4280.0,59.779999999999994,11:11:00.000,11:11:00.000,0.0,0.0,2021-02-05
25201,rb2105,short_close,4268.0,4269.0,14,4280.0,59.779999999999994,11:11:00.000,2021-02-05 14:46:00.000,12900.0,1480.22,2021-02-05
10525,rb2105,long_open,4342.0,4342.0,14,4342.0,60.620000000000005,10:43:00.000,10:43:00.000,0.0,0.0,2021-02-08
14055,rb2105,long_close,4357.0,4356.0,14,4342.0,60.620000000000005,10:43:00.000,11:12:30.000,1770.0,1899.3799999999999,2021-02-08
32305,rb2105,short_open,4276.0,4276.0,14,4276.0,60.620000000000005,21:45:00.000,21:45:00.000,0.0,0.0,2021-02-08
41111,rb2105,short_close,4281.0,4282.0,14,4276.0,60.620000000000005,2021-02-05 21:45:00.000,2021-02-05 23:00:00.000,4500.0,-961.24,2021-02-08
13156,rb2105,short_open,4531.0,4531.0,14,4531.0,63.279999999999994,11:05:00.000,11:05:00.000,0.0,0.0,2021-02-18
15411,rb2105,short_close,4518.0,4519.0,14,4531.0,63.279999999999994,11:05:00.000,2021-02-18 11:24:00.500,1140.0,1616.72,2021-02-18
28862,rb2105,long_open,4507.0,4507.0,13,4507.0,59.67,21:16:00.000,21:16:00.000,0.0,0.0,2021-02-22
31979,rb2105,long_close,4520.0,4519.0,13,4507.0,59.67,21:16:00.000,21:42:00.000,1560.0,1500.33,2021-02-22
6218,rb2105,long_open,4604.0,4605.0,13,4605.0,59.67,09:52:00.000,09:52:00.000,0.0,0.0,2021-02-23
14899,rb2105,long_close,4587.0,4586.0,13,4605.0,59.67,09:52:00.000,11:20:00.000,5280.0,-2529.67,2021-02-23
8975,rb2105,short_open,4597.0,4596.0,13,4596.0,59.54,10:15:00.000,10:15:00.000,0.0,0.0,2021-02-24
9635,rb2105,short_close,4582.0,4584.0,13,4596.0,59.54,10:15:00.000,2021-02-24 10:35:30.000,1230.0,1500.46,2021-02-24
22870,rb2105,short_open,4576.0,4575.0,13,4575.0,59.54,14:26:00.000,14:26:00.000,0.0,0.0,2021-02-24
24124,rb2105,short_close,4588.0,4589.0,13,4575.0,59.54,14:26:00.000,2021-02-24 14:36:30.000,630.0,-1879.5400000000002,2021-02-24
12455,rb2105,long_open,4681.0,4682.0,13,4682.0,60.839999999999996,10:59:00.000,10:59:00.000,0.0,0.0,2021-02-25
13770,rb2105,long_close,4696.0,4696.0,13,4682.0,60.839999999999996,10:59:00.000,11:10:00.000,660.0,1759.1599999999999,2021-02-25
17709,rb2105,short_open,4726.0,4725.0,13,4725.0,60.839999999999996,13:43:00.000,13:43:00.000,0.0,0.0,2021-02-25
18128,rb2105,short_close,4738.0,4740.0,13,4725.0,60.839999999999996,13:43:00.000,2021-02-25 13:46:30.000,210.0,-2010.8400000000001,2021-02-25
