,unit,exchangeCD,currencyCD,barTime,dataDate,clearingDay,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue,openInterest,ticker
0,1,XDCE,CNY,21:00,2021-03-31,2021-04-01,3390,3390,3390,3390,2098,71122200,1339490,M2109
1,1,XDCE,CNY,21:01,2021-03-31,2021-04-01,3398,3390,3400,3390,19570,664771830,1343597,M2109
2,1,XDCE,CNY,21:02,2021-03-31,2021-04-01,3401,3398,3403,3398,11369,386593390,1345286,M2109
3,1,XDCE,CNY,21:03,2021-03-31,2021-04-01,3399,3401,3401,3397,4276,145338450,1346442,M2109
4,1,XDCE,CNY,21:04,2021-03-31,2021-04-01,3397,3399,3399,3396,3276,111290000,1347226,M2109
5,1,XDCE,CNY,21:05,2021-03-31,2021-04-01,3396,3397,3398,3395,3273,111172860,1347522,M2109
6,1,XDCE,CNY,21:06,2021-03-31,2021-04-01,3397,3396,3397,3393,3683,125024110,1347835,M2109
7,1,XDCE,CNY,21:07,2021-03-31,2021-04-01,3397,3396,3399,3396,3616,122834730,1348719,M2109
8,1,XDCE,CNY,21:08,2021-03-31,2021-04-01,3393,3396,3397,3392,3079,104529150,1350375,M2109
9,1,XDCE,CNY,21:09,2021-03-31,2021-04-01,3396,3393,3397,3392,3082,104632830,1350671,M2109
10,1,XDCE,CNY,21:10,2021-03-31,2021-04-01,3395,3396,3398,3394,2105,71504820,1351556,M2109
11,1,XDCE,CNY,21:11,2021-03-31,2021-04-01,3394,3394,3395,3393,1360,46154980,1351468,M2109
12,1,XDCE,CNY,21:12,2021-03-31,2021-04-01,3392,3394,3394,3390,2587,87749790,1352043,M2109
13,1,XDCE,CNY,21:13,2021-03-31,2021-04-01,3392,3391,3394,3391,2044,69347520,1352259,M2109
14,1,XDCE,CNY,21:14,2021-03-31,2021-04-01,3391,3393,3394,3391,2264,76812990,1351655,M2109
15,1,XDCE,CNY,21:15,2021-03-31,2021-04-01,3389,3392,3392,3389,1822,61771420,1351737,M2109
16,1,XDCE,CNY,21:16,2021-03-31,2021-04-01,3392,3389,3393,3389,2302,78060170,1351547,M2109
17,1,XDCE,CNY,21:17,2021-03-31,2021-04-01,3390,3392,3392,3389,868,29427750,1351863,M2109
18,1,XDCE,CNY,21:18,2021-03-31,2021-04-01,3386,3389,3390,3386,2699,91423950,1352056,M2109
19,1,XDCE,CNY,21:19,2021-03-31,2021-04-01,3390,3386,3391,3386,2668,90407210,1352630,M2109
20,1,XDCE,CNY,21:20,2021-03-31,2021-04-01,3394,3391,3394,3390,2523,85589060,1352997,M2109
21,1,XDCE,CNY,21:21,2021-03-31,2021-04-01,3395,3393,3396,3392,2995,101627650,1354102,M2109
