y_true,y_predict,epoch
1,2,0
1,2,0
1,2,0
0,2,0
2,2,0
2,2,0
2,2,0
0,2,0
2,2,0
0,2,0
2,2,0
2,2,0
1,2,0
2,2,0
2,2,0
1,2,0
0,2,0
2,2,0
2,2,0
0,2,0
0,2,0
2,2,0
0,2,0
2,2,0
2,2,0
1,2,0
1,2,0
0,2,0
2,2,0
2,2,0
0,2,0
1,2,0
0,2,0
1,2,0
2,2,0
1,2,0
1,2,0
0,2,0
1,2,0
0,2,0
0,2,0
2,2,0
2,2,0
2,2,0
0,2,0
1,2,0
1,2,0
1,2,0
0,2,0
0,2,0
1,2,0
0,2,0
1,2,0
0,2,0
1,2,0
0,2,0
0,2,0
2,2,0
0,2,0
2,2,0
2,2,0
1,2,0
0,2,0
1,2,0
2,2,0
1,2,0
1,2,0
0,2,0
2,2,0
2,2,0
1,2,0
2,2,0
2,2,0
2,2,0
0,2,0
2,2,0
1,2,0
0,2,0
0,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
0,2,0
2,2,0
0,2,0
2,2,0
2,2,0
1,2,0
2,2,0
2,2,0
2,2,0
2,2,0
1,2,0
2,2,0
2,2,0
1,2,0
1,2,0
0,2,0
1,2,0
1,2,0
0,2,0
0,2,0
1,2,0
2,2,0
1,2,0
0,2,0
2,2,0
1,2,0
2,2,0
2,2,0
1,2,0
0,2,0
1,2,0
0,2,0
2,2,0
2,2,0
1,2,0
1,2,0
0,2,0
1,2,0
1,2,0
2,2,0
0,2,0
1,2,0
2,2,0
1,2,0
2,2,0
2,2,0
1,2,0
2,2,0
1,2,0
0,2,0
1,2,0
2,2,0
2,2,0
0,2,0
1,2,0
2,2,0
2,2,0
0,2,0
1,2,0
0,2,0
2,2,0
0,2,0
0,2,0
2,2,0
2,2,0
0,2,0
2,2,0
0,2,0
0,2,0
0,2,0
1,2,0
1,2,0
2,2,0
1,2,0
2,2,0
1,2,0
0,2,0
2,2,0
0,2,0
2,2,0
1,2,0
0,2,0
0,2,0
2,2,0
0,2,0
2,2,0
1,2,0
1,2,0
1,2,0
1,2,0
2,2,0
1,2,0
1,2,0
0,2,0
2,2,0
2,2,0
1,2,0
2,2,0
2,2,0
1,2,0
0,2,0
1,2,0
0,2,0
1,2,0
1,2,0
2,2,0
2,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
2,2,0
2,2,0
1,2,0
1,2,0
2,2,0
0,2,0
2,2,0
2,2,0
0,2,0
2,2,0
2,2,0
1,2,0
2,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
0,2,0
2,2,0
2,2,0
0,2,0
0,2,0
1,2,0
1,2,0
1,2,0
0,2,0
0,2,0
2,2,0
2,2,0
2,2,0
1,2,0
2,2,0
1,2,0
2,2,0
1,2,0
1,2,0
2,2,0
1,2,0
0,2,0
1,2,0
1,2,0
1,2,0
1,2,0
0,2,0
1,2,0
2,2,0
2,2,0
1,2,0
0,2,0
1,2,0
0,2,0
1,2,0
0,2,0
1,2,0
2,2,0
0,2,0
1,2,0
0,2,0
0,2,0
2,2,0
2,2,0
0,2,0
0,2,0
1,2,0
1,2,0
0,2,0
2,2,0
0,2,0
2,2,0
0,2,0
0,2,0
2,2,0
2,2,0
1,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
2,2,0
1,2,0
2,2,0
0,2,0
2,2,0
0,2,0
2,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
2,2,0
1,2,0
2,2,0
0,2,0
1,2,0
0,2,0
2,2,0
1,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
2,2,0
0,2,0
2,2,0
1,2,0
0,2,0
1,2,0
0,2,0
0,2,0
1,2,0
1,2,0
2,2,0
