datetime,signal
2021-07-01_09:30:00,1
2021-07-01_09:31:00,0
2021-07-01_09:32:00,1
2021-07-01_09:33:00,1
2021-07-01_09:34:00,2
2021-07-01_09:35:00,2
2021-07-01_09:36:00,0
2021-07-01_09:37:00,2
2021-07-01_09:38:00,1
2021-07-01_09:39:00,0
2021-07-01_09:40:00,1
2021-07-01_09:41:00,0
2021-07-01_09:42:00,0
2021-07-01_09:43:00,1
2021-07-01_09:44:00,2
2021-07-01_09:45:00,2
2021-07-01_09:46:00,2
2021-07-01_09:47:00,1
2021-07-01_09:48:00,2
2021-07-01_09:49:00,1
2021-07-01_09:50:00,1
2021-07-01_09:51:00,2
2021-07-01_09:52:00,0
2021-07-01_09:53:00,0
2021-07-01_09:54:00,2
2021-07-01_09:55:00,1
2021-07-01_09:56:00,2
2021-07-01_09:57:00,1
2021-07-01_09:58:00,2
2021-07-01_09:59:00,2
2021-07-01_10:00:00,0
2021-07-01_10:01:00,1
2021-07-01_10:02:00,0
2021-07-01_10:03:00,1
2021-07-01_10:04:00,2
2021-07-01_10:05:00,1
2021-07-01_10:06:00,0
2021-07-01_10:07:00,0
2021-07-01_10:08:00,0
2021-07-01_10:09:00,1
2021-07-01_10:10:00,1
2021-07-01_10:11:00,0
2021-07-01_10:12:00,0
2021-07-01_10:13:00,1
2021-07-01_10:14:00,2
2021-07-01_10:15:00,2
2021-07-01_10:31:00,1
2021-07-01_10:32:00,2
2021-07-01_10:33:00,1
2021-07-01_10:34:00,2
2021-07-01_10:35:00,0
2021-07-01_10:36:00,0
2021-07-01_10:37:00,2
2021-07-01_10:38:00,2
2021-07-01_10:39:00,0
2021-07-01_10:40:00,2
2021-07-01_10:41:00,0
2021-07-01_10:42:00,2
2021-07-01_10:43:00,0
2021-07-01_10:44:00,0
2021-07-01_10:45:00,2
2021-07-01_10:46:00,1
2021-07-01_10:47:00,0
2021-07-01_10:48:00,0
2021-07-01_10:49:00,1
2021-07-01_10:50:00,1
2021-07-01_10:51:00,2
2021-07-01_10:52:00,1
2021-07-01_10:53:00,2
2021-07-01_10:54:00,2
2021-07-01_10:55:00,0
2021-07-01_10:56:00,2
2021-07-01_10:57:00,1
2021-07-01_10:58:00,1
2021-07-01_10:59:00,1
2021-07-01_11:00:00,1
