secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon,hh,lc,hc,ll,accstd,upbound,lowbound,signal
P2209.XDCE,p2209,XDCE,连棕油2209,RBD Palm Olein 2209,2022-04-25,P,L4,11186.0,11078.0,11500.0,12008.0,11108.0,11572.0,11136.0,1391734,161052029020,289006,-50.0,386.0,-0.00446987,1,0,12008.0,11078.0,11458.0,11000.0,172.3798132033483,11356.47596264067,10636.52403735933,4
I2209.XDCE,i2209,XDCE,连铁矿石2209,Iron Ore 2209,2022-04-25,I,L4,890.0,881.0,877.5,883.0,792.5,830.0,794.5,826438,68604923950,613297,-95.5,-60.0,-0.10730337,1,0,942.0,794.5,904.0,792.5,33.35715815233583,815.9214316304672,758.3285683695328,4
I2209.XDCE,i2209,XDCE,连铁矿石2209,Iron Ore 2209,2022-04-25,I,L4,890.0,881.0,877.5,883.0,792.5,830.0,794.5,826438,68604923950,613297,-95.5,-60.0,-0.10730337,1,0,942.0,794.5,904.0,792.5,33.35715815233583,830.6714316304672,758.3285683695328,4
TA209.XZCE2,TA209,XZCE,郑PTA209,Pure Terephthalic Acid 209,2022-04-25,TA,L4,6212.0,6168.0,6180.0,6202.0,5922.0,6032.0,5930.0,1662825,50145792200,861919,-282.0,-180.0,-0.04539601,1,0,6286.0,5930.0,6228.0,5922.0,80.6796132861342,6017.335922657227,5807.064077342773,4
TA209.XZCE2,TA209,XZCE,郑PTA209,Pure Terephthalic Acid 209,2022-04-25,TA,L4,6212.0,6168.0,6180.0,6202.0,5922.0,6032.0,5930.0,1662825,50145792200,861919,-282.0,-180.0,-0.04539601,1,0,6286.0,5930.0,6228.0,5922.0,80.6796132861342,6017.335922657227,5735.864077342773,4
M2209.XDCE,m2209,XDCE,连豆粕2209,Soybean Meal 2209,2022-04-25,M,L3,4097.0,4075.0,4100.0,4118.0,3947.0,4020.0,3956.0,1301465,52319430590,1315849,-141.0,-77.0,-0.03441543,1,0,4139.0,3956.0,4118.0,3913.0,49.8166638786646,4006.963332775733,3843.536667224267,4
M2209.XDCE,m2209,XDCE,连豆粕2209,Soybean Meal 2209,2022-04-25,M,L3,4097.0,4075.0,4100.0,4118.0,3947.0,4020.0,3956.0,1301465,52319430590,1315849,-141.0,-77.0,-0.03441543,1,0,4495.0,3808.0,4407.0,3804.0,181.49138144400914,4060.9982762888017,3782.301723711198,4
EG2205.XDCE,eg2205,XDCE,连乙二醇2205,Ethylene Glycol 2205,2022-04-21,EG,L1,4964.0,4966.0,4966.0,4970.0,4883.0,4926.0,4930.0,225884,11128667120,143671,-34.0,-38.0,-0.00684932,1,0,5005.0,4810.0,4966.0,4751.0,58.354091544640184,4963.170818308928,4875.329181691072,4
EG2205.XDCE,eg2205,XDCE,连乙二醇2205,Ethylene Glycol 2205,2022-04-21,EG,L1,4964.0,4966.0,4966.0,4970.0,4883.0,4926.0,4930.0,225884,11128667120,143671,-34.0,-38.0,-0.00684932,1,0,5005.0,4810.0,4966.0,4751.0,58.354091544640184,4963.170818308928,4896.829181691072,4
EG2205.XDCE,eg2205,XDCE,连乙二醇2205,Ethylene Glycol 2205,2022-04-21,EG,L1,4964.0,4966.0,4966.0,4970.0,4883.0,4926.0,4930.0,225884,11128667120,143671,-34.0,-38.0,-0.00684932,1,0,5119.0,4782.0,5064.0,4751.0,89.39133406582948,4981.578266813166,4878.421733186834,4
