tradeDate,ticker_ic,secID_ic,secShortName_ic,exchangeCD_ic,openPrice_ic,highestPrice_ic,lowestPrice_ic,closePrice_ic,indexID_ic,indexSymbol_ic,closeIndex_ic,basis_ic,ticker_if,secID_if,secShortName_if,exchangeCD_if,openPrice_if,highestPrice_if,lowestPrice_if,closePrice_if,indexID_if,indexSymbol_if,closeIndex_if,basis_if,ticker,secID,secShortName,exchangeCD,openPrice,highestPrice,lowestPrice,closePrice,indexID,indexSymbol,closeIndex,basis
2015-04-16,IC1505,IC1505.CCFX,中证1505,CCFX,7681.0,7790.0,7480.2,7707.8,2103,000905,7912.088,-204.288,IF1505,IF1505.CCFX,沪深1505,CCFX,4382.8,4568.0,4382.8,4560.8,1782,000300,4513.55,47.25,IH1505,IH1505.CCFX,上证1505,CCFX,3100.0,3288.2,3088.8,3283.8,28,000016,3183.302,100.498
2015-04-17,IC1505,IC1505.CCFX,中证1505,CCFX,7722.0,7918.8,7631.2,7758.2,2103,000905,7980.76,-222.56,IF1505,IF1505.CCFX,沪深1505,CCFX,4568.8,4665.0,4557.0,4604.4,1782,000300,4596.14,8.26,IH1505,IH1505.CCFX,上证1505,CCFX,3303.6,3341.6,3238.0,3254.0,28,000016,3235.332,18.668
2015-04-20,IC1505,IC1505.CCFX,中证1505,CCFX,7760.0,7857.0,7582.0,7622.2,2103,000905,7839.901,-217.701,IF1505,IF1505.CCFX,沪深1505,CCFX,4588.4,4683.0,4487.4,4516.4,1782,000300,4521.92,-5.52,IH1505,IH1505.CCFX,上证1505,CCFX,3258.0,3315.0,3143.6,3146.8,28,000016,3164.461,-17.661
2015-04-21,IC1505,IC1505.CCFX,中证1505,CCFX,7650.2,8147.0,7640.2,8140.4,2103,000905,8112.687,27.713,IF1505,IF1505.CCFX,沪深1505,CCFX,4550.0,4630.6,4528.0,4618.8,1782,000300,4619.16,-0.36,IH1505,IH1505.CCFX,上证1505,CCFX,3176.8,3242.2,3153.0,3234.0,28,000016,3214.364,19.636
2015-04-22,IC1505,IC1505.CCFX,中证1505,CCFX,8158.0,8237.8,8104.4,8189.8,2103,000905,8323.427,-133.627,IF1505,IF1505.CCFX,沪深1505,CCFX,4631.0,4764.0,4631.0,4761.0,1782,000300,4739.81,21.19,IH1505,IH1505.CCFX,上证1505,CCFX,3250.0,3333.2,3229.8,3308.0,28,000016,3299.221,8.779
2015-04-23,IC1505,IC1505.CCFX,中证1505,CCFX,8193.0,8378.8,8160.4,8265.6,2103,000905,8410.703,-145.103,IF1505,IF1505.CCFX,沪深1505,CCFX,4762.4,4787.8,4691.2,4716.0,1782,000300,4740.89,-24.89,IH1505,IH1505.CCFX,上证1505,CCFX,3318.6,3348.2,3253.4,3267.8,28,000016,3273.398,-5.598
2015-04-24,IC1505,IC1505.CCFX,中证1505,CCFX,8247.8,8349.8,8123.8,8327.2,2103,000905,8419.095,-91.895,IF1505,IF1505.CCFX,沪深1505,CCFX,4692.2,4733.0,4612.0,4722.0,1782,000300,4702.64,19.36,IH1505,IH1505.CCFX,上证1505,CCFX,3248.8,3267.8,3170.0,3233.0,28,000016,3223.958,9.042
2015-04-27,IC1505,IC1505.CCFX,中证1505,CCFX,8368.0,8548.0,8292.0,8347.2,2103,000905,8513.016,-165.816,IF1505,IF1505.CCFX,沪深1505,CCFX,4742.0,4824.6,4737.0,4804.0,1782,000300,4807.59,-3.59,IH1505,IH1505.CCFX,上证1505,CCFX,3260.0,3358.0,3257.8,3357.6,28,000016,3308.454,49.146
2015-04-28,IC1505,IC1505.CCFX,中证1505,CCFX,8308.0,8419.0,8011.6,8147.0,2103,000905,8266.483,-119.483,IF1505,IF1505.CCFX,沪深1505,CCFX,4791.2,4811.0,4660.0,4721.0,1782,000300,4741.86,-20.86,IH1505,IH1505.CCFX,上证1505,CCFX,3339.0,3376.0,3265.0,3286.8,28,000016,3282.33,4.47
2015-04-29,IC1505,IC1505.CCFX,中证1505,CCFX,8138.0,8309.0,8079.0,8302.2,2103,000905,8428.254,-126.054,IF1505,IF1505.CCFX,沪深1505,CCFX,4701.8,4806.2,4700.4,4771.0,1782,000300,4774.33,-3.33,IH1505,IH1505.CCFX,上证1505,CCFX,3282.0,3325.6,3261.0,3295.2,28,000016,3283.282,11.918
