trade_date,product_id,instrument_id,total_return_final,total_return_unclose,total_fee,unclosed_value,precision,long_open,short_open,correct_long_open,wrong_long_open,correct_short_open,wrong_short_open,average_holding_time,max_holding_time,min_holding_time
2021-07-01,rb,rb2110,420.0,420.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2103.0,2103.0,2103.0
2021-07-02,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-05,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-06,rb,rb2110,380.0,380.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4519.0,4519.0,4519.0
2021-07-07,rb,rb2110,400.0,400.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2885.0,2885.0,2885.0
2021-07-08,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-09,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-12,rb,rb2110,420.0,420.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1409.0,1409.0,1409.0
2021-07-13,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-14,rb,rb2110,400.0,400.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2049.0,2049.0,2049.0
2021-07-15,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-01,rb,rb2110,-460.0,-460.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,509.0,509.0,509.0
2021-07-02,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-05,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-06,rb,rb2110,-440.0,-440.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3366.0,3366.0,3366.0
2021-07-07,rb,rb2110,760.0,760.0,40.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1711.0,2198.0,1224.0
2021-07-08,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-09,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-12,rb,rb2110,-140.0,-140.0,40.0,0.0,0.5,0.0,2.0,0.0,0.0,1.0,1.0,1297.5,1533.0,1062.0
2021-07-13,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-14,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-15,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-01,rb,rb2110,420.0,420.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2103.0,2103.0,2103.0
2021-07-02,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-05,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-06,rb,rb2110,380.0,380.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4519.0,4519.0,4519.0
2021-07-07,rb,rb2110,400.0,400.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2885.0,2885.0,2885.0
2021-07-08,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-09,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-12,rb,rb2110,420.0,420.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1409.0,1409.0,1409.0
2021-07-13,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-14,rb,rb2110,400.0,400.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2049.0,2049.0,2049.0
2021-07-15,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-01,rb,rb2110,420.0,420.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2103.0,2103.0,2103.0
2021-07-02,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-05,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-06,rb,rb2110,380.0,380.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4519.0,4519.0,4519.0
2021-07-07,rb,rb2110,400.0,400.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2885.0,2885.0,2885.0
2021-07-08,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-09,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-12,rb,rb2110,420.0,420.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1409.0,1409.0,1409.0
2021-07-13,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-14,rb,rb2110,400.0,400.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2049.0,2049.0,2049.0
2021-07-15,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-16,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-19,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-20,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-21,rb,rb2110,-80.0,-80.0,40.0,0.0,0.5,0.0,2.0,0.0,0.0,1.0,1.0,1793.5,2562.0,1025.0
2021-07-22,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-23,rb,rb2110,-460.0,-460.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1029.0,1029.0,1029.0
2021-07-26,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-27,rb,rb2110,-440.0,-440.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2986.0,2986.0,2986.0
2021-07-28,rb,rb2110,-500.0,-500.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1772.0,1772.0,1772.0
