trade_date,product_id,instrument_id,total_return_final,total_return_unclose,total_fee,unclosed_value,precision,long_open,short_open,correct_long_open,wrong_long_open,correct_short_open,wrong_short_open,average_holding_time,max_holding_time,min_holding_time
2021-07-01,rb,rb2110,80.0,80.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,163.0,163.0,163.0
2021-07-02,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-01,rb,rb2110,80.0,80.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,163.0,163.0,163.0
2021-07-02,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-05,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-06,rb,rb2110,100.0,100.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,379.0,379.0,379.0
2021-07-07,rb,rb2110,-180.0,-180.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,45.0,45.0,45.0
2021-07-08,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-09,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-12,rb,rb2110,-200.0,-200.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,189.0,189.0,189.0
2021-07-13,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-14,rb,rb2110,-160.0,-160.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49.0,49.0,49.0
2021-07-15,rb,rb2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
