trade_date,product_id,instrument_id,total_return_final,total_return_unclose,total_fee,unclosed_value,precision,long_open,short_open,correct_long_open,wrong_long_open,correct_short_open,wrong_short_open,average_holding_time,max_holding_time,min_holding_time
2021-07-01,eg,eg2109,120.0,120.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,739.0,739.0,739.0
2021-07-02,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-05,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-06,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-07,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-08,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-09,eg,eg2109,80.0,80.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,171.0,171.0,171.0
2021-07-12,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-13,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-14,eg,eg2109,-400.0,-400.0,40.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,315.5,465.0,166.0
2021-07-15,eg,eg2109,200.0,200.0,40.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,118.5,120.0,117.0
2021-07-16,eg,eg2109,120.0,120.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,53.0,53.0,53.0
2021-07-19,eg,eg2109,120.0,120.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,25.0,25.0,25.0
2021-07-20,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-21,eg,eg2109,140.0,140.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,174.0,174.0,174.0
2021-07-22,eg,eg2109,120.0,120.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,69.0,69.0,69.0
2021-07-23,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-26,eg,eg2109,120.0,120.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,124.0,124.0,124.0
2021-07-27,eg,eg2109,80.0,80.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,303.0,303.0,303.0
2021-07-28,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-29,eg,eg2109,360.0,360.0,60.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,60.333333333333336,117.0,29.0
2021-07-30,eg,eg2109,100.0,100.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,13.0
