trade_date,product_id,instrument_id,total_return_final,total_return_unclose,total_fee,unclosed_value,precision,long_open,short_open,correct_long_open,wrong_long_open,correct_short_open,wrong_short_open,average_holding_time,max_holding_time,min_holding_time
2021-07-08,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-08,eg,eg2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-08,eg,eg2109,-440.0,-440.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1060.0,1060.0,1060.0
2021-07-09,eg,eg2109,80.0,80.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,171.0,171.0,171.0
2021-07-12,eg,eg2109,140.0,140.0,120.0,0.0,0.8333333333333334,6.0,0.0,5.0,1.0,0.0,0.0,910.5,2533.0,142.0
2021-07-13,eg,eg2109,-220.0,-220.0,80.0,0.0,0.75,4.0,0.0,3.0,1.0,0.0,0.0,519.5,1117.0,65.0
2021-07-14,eg,eg2109,-1900.0,-1900.0,200.0,0.0,0.5,9.0,1.0,5.0,4.0,0.0,1.0,1356.6,8112.0,166.0
2021-07-15,eg,eg2109,720.0,860.0,240.0,10432.0,0.8333333333333334,1.0,11.0,1.0,0.0,9.0,2.0,566.0833333333334,2154.0,10.0
2021-07-08,eg,eg2109,-440.0,-440.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1060.0,1060.0,1060.0
2021-07-09,eg,eg2109,80.0,80.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,171.0,171.0,171.0
2021-07-12,eg,eg2109,140.0,140.0,120.0,0.0,0.8333333333333334,6.0,0.0,5.0,1.0,0.0,0.0,910.5,2533.0,142.0
2021-07-13,eg,eg2109,-220.0,-220.0,80.0,0.0,0.75,4.0,0.0,3.0,1.0,0.0,0.0,519.5,1117.0,65.0
2021-07-14,eg,eg2109,-1900.0,-1900.0,200.0,0.0,0.5,9.0,1.0,5.0,4.0,0.0,1.0,1356.6,8112.0,166.0
2021-07-15,eg,eg2109,720.0,860.0,240.0,10432.0,0.8333333333333334,1.0,11.0,1.0,0.0,9.0,2.0,566.0833333333334,2154.0,10.0
2021-07-08,eg,eg2109,-440.0,-440.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1060.0,1060.0,1060.0
2021-07-09,eg,eg2109,80.0,80.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,171.0,171.0,171.0
2021-07-12,eg,eg2109,140.0,140.0,120.0,0.0,0.8333333333333334,6.0,0.0,5.0,1.0,0.0,0.0,910.5,2533.0,142.0
2021-07-13,eg,eg2109,-220.0,-220.0,80.0,0.0,0.75,4.0,0.0,3.0,1.0,0.0,0.0,519.5,1117.0,65.0
2021-07-14,eg,eg2109,-1900.0,-1900.0,200.0,0.0,0.5,9.0,1.0,5.0,4.0,0.0,1.0,1356.6,8112.0,166.0
2021-07-15,eg,eg2109,720.0,860.0,240.0,10432.0,0.8333333333333334,1.0,11.0,1.0,0.0,9.0,2.0,566.0833333333334,2154.0,10.0
2021-07-08,eg,eg2109,-440.0,-440.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1060.0,1060.0,1060.0
2021-07-09,eg,eg2109,80.0,80.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,171.0,171.0,171.0
2021-07-12,eg,eg2109,140.0,140.0,120.0,0.0,0.8333333333333334,6.0,0.0,5.0,1.0,0.0,0.0,910.5,2533.0,142.0
2021-07-13,eg,eg2109,-220.0,-220.0,80.0,0.0,0.75,4.0,0.0,3.0,1.0,0.0,0.0,519.5,1117.0,65.0
2021-07-14,eg,eg2109,-1900.0,-1900.0,200.0,0.0,0.5,9.0,1.0,5.0,4.0,0.0,1.0,1356.6,8112.0,166.0
2021-07-15,eg,eg2109,720.0,860.0,240.0,10432.0,0.8333333333333334,1.0,11.0,1.0,0.0,9.0,2.0,566.0833333333334,2154.0,10.0
2021-07-08,eg,eg2109,-440.0,-440.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1060.0,1060.0,1060.0
2021-07-09,eg,eg2109,80.0,80.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,171.0,171.0,171.0
