trade_date,product_id,instrument_id,total_return_final,total_return_unclose,total_fee,unclosed_value,precision,long_open,short_open,correct_long_open,wrong_long_open,correct_short_open,wrong_short_open,average_holding_time,max_holding_time,min_holding_time
2021-07-01,m,m2109,-188.0,-188.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1849.0,1849.0,1849.0
2021-07-02,m,m2109,-128.0,-128.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,180.0,180.0,180.0
2021-07-05,m,m2109,-128.0,-128.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1296.0,1296.0,1296.0
2021-07-06,m,m2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
2021-07-07,m,m2109,112.0,112.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,542.0,542.0,542.0
2021-07-08,m,m2109,204.0,204.0,16.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1308.5,1807.0,810.0
2021-07-09,m,m2109,92.0,92.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,444.0,444.0,444.0
2021-07-12,m,m2109,-128.0,-128.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,745.0,745.0,745.0
2021-07-13,m,m2109,-188.0,-188.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1673.0,1673.0,1673.0
2021-07-14,m,m2109,92.0,92.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,215.0,215.0,215.0
2021-07-15,m,m2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,inf
