trade_date,product_id,instrument_id,total_return_final,total_return_unclose,total_fee,unclosed_value,precision,long_open,short_open,correct_long_open,wrong_long_open,correct_short_open,wrong_short_open,average_holding_time,max_holding_time,min_holding_time
2021-07-07,m,m2109,-1510.0,-1140.0,40.0,14308.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,31285.5,61767.0,804.0
2021-07-08,m,m2109,550.0,0.0,20.0,14264.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,64670.0,64670.0,64670.0
2021-07-09,m,m2109,180.0,180.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,56997.0,56997.0,56997.0
2021-07-07,m,m2109,-5250.0,-5040.0,1500.0,14292.0,0.2533333333333333,58.0,17.0,11.0,47.0,8.0,9.0,859.5466666666666,36069.0,7.0
2021-07-08,m,m2109,-2470.0,-2300.0,1040.0,14336.0,0.2884615384615384,44.0,8.0,13.0,31.0,2.0,6.0,1240.6153846153843,36408.0,10.0
2021-07-09,m,m2109,-3670.0,-3620.0,1040.0,14324.0,0.2692307692307692,49.0,3.0,14.0,35.0,0.0,3.0,1243.2884615384614,37158.0,11.0
2021-07-07,m,m2109,-3830.0,-3540.0,720.0,14300.0,0.25,20.0,16.0,3.0,17.0,6.0,10.0,1785.5555555555557,36965.0,49.0
2021-07-08,m,m2109,-3170.0,-3160.0,620.0,14320.0,0.2258064516129032,17.0,14.0,5.0,12.0,2.0,12.0,2074.451612903226,36364.0,78.0
2021-07-09,m,m2109,-1340.0,-1200.0,620.0,14320.0,0.3870967741935484,14.0,17.0,7.0,7.0,5.0,12.0,2079.322580645161,37394.0,118.0
2021-07-07,m,m2109,-2230.0,-1500.0,40.0,14344.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,32149.0,62002.0,2296.0
2021-07-08,m,m2109,-990.0,-740.0,40.0,14344.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,32108.5,62524.0,1693.0
2021-07-09,m,m2109,180.0,160.0,100.0,14336.0,0.8,2.0,3.0,2.0,0.0,2.0,1.0,12602.2,55662.0,363.0
2021-07-01,m,m2109,6160.0,6660.0,120.0,14516.0,0.8333333333333334,4.0,2.0,4.0,0.0,1.0,1.0,10706.833333333334,43064.0,28.0
2021-07-02,m,m2109,850.0,940.0,80.0,14776.0,0.75,3.0,1.0,2.0,1.0,1.0,0.0,15476.25,58591.0,570.0
2021-07-05,m,m2109,1350.0,1320.0,100.0,14596.0,0.8,3.0,2.0,2.0,1.0,2.0,0.0,12154.4,43886.0,168.0
2021-07-06,m,m2109,-570.0,480.0,60.0,14636.0,0.6666666666666666,2.0,1.0,1.0,1.0,1.0,0.0,21472.33333333333,60498.0,478.0
2021-07-07,m,m2109,-2230.0,-1500.0,40.0,14344.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,32149.0,62002.0,2296.0
2021-07-08,m,m2109,-990.0,-740.0,40.0,14344.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,32108.5,62524.0,1693.0
2021-07-09,m,m2109,180.0,160.0,100.0,14336.0,0.8,2.0,3.0,2.0,0.0,2.0,1.0,12602.2,55662.0,363.0
