idx,instrument_id,direction,last_price,filled_price,filled_vol,open_price,fee,open_ts,close_ts,holding_time,return,trade_date,open_cost,return_ratio,return_cut
623,m2109,00,3483.0,3483.0,2.0,3483.0,4.0,21:05:11.049,21:05:11.049,0.0,0.0,2021-07-01,6966.0,0.0,"(-13.809, 71.549]"
4167,m2109,01,3474.0,3474.0,2.0,3483.0,4.0,21:05:11.049,21:36:00.615,1849.0,-188.0,2021-07-01,6966.0,-269.88228538616136,"(-270.309, -184.524]"
601,m2109,10,3679.0,3679.0,2.0,3679.0,4.0,21:05:00.187,21:05:00.187,0.0,0.0,2021-07-02,7358.0,0.0,"(-13.809, 71.549]"
961,m2109,11,3685.0,3685.0,2.0,3679.0,4.0,21:05:00.187,2021-07-01 21:08:00.235,180.0,-128.0,2021-07-02,7358.0,-173.96031530307147,"(-184.524, -99.167]"
649,m2109,00,3688.0,3689.0,2.0,3689.0,4.0,21:05:24.521,21:05:24.521,0.0,0.0,2021-07-05,7378.0,0.0,"(-13.809, 71.549]"
3183,m2109,01,3683.0,3683.0,2.0,3689.0,4.0,21:05:24.521,21:27:00.578,1296.0,-128.0,2021-07-05,7378.0,-173.4887503388452,"(-184.524, -99.167]"
837,m2109,10,3624.0,3623.0,2.0,3623.0,4.0,21:06:58.483,21:06:58.483,0.0,0.0,2021-07-07,7246.0,0.0,"(-13.809, 71.549]"
1917,m2109,11,3617.0,3617.0,2.0,3623.0,4.0,21:06:58.483,2021-07-06 21:16:00.990,542.0,112.0,2021-07-07,7246.0,154.56803753795197,"(71.549, 156.907]"
1255,m2109,00,3565.0,3565.0,2.0,3565.0,4.0,21:10:30.030,21:10:30.030,0.0,0.0,2021-07-08,7130.0,0.0,"(-13.809, 71.549]"
2825,m2109,01,3571.0,3570.0,2.0,3565.0,4.0,21:10:30.030,21:24:00.042,810.0,92.0,2021-07-08,7130.0,129.03225806451613,"(71.549, 156.907]"
24047,m2109,00,3569.0,3569.0,2.0,3569.0,4.0,10:50:53.092,10:50:53.092,0.0,0.0,2021-07-08,7138.0,0.0,"(-13.809, 71.549]"
27241,m2109,01,3576.0,3575.0,2.0,3569.0,4.0,10:50:53.092,11:21:00.108,1807.0,112.0,2021-07-08,7138.0,156.90669655365647,"(71.549, 156.907]"
673,m2109,00,3558.0,3559.0,2.0,3559.0,4.0,21:05:36.363,21:05:36.363,0.0,0.0,2021-07-09,7118.0,0.0,"(-13.809, 71.549]"
1551,m2109,01,3565.0,3564.0,2.0,3559.0,4.0,21:05:36.363,21:13:00.365,444.0,92.0,2021-07-09,7118.0,129.24978926664792,"(71.549, 156.907]"
23015,m2109,00,3595.0,3596.0,2.0,3596.0,4.0,10:32:35.391,10:32:35.391,0.0,0.0,2021-07-12,7192.0,0.0,"(-13.809, 71.549]"
24487,m2109,01,3590.0,3590.0,2.0,3596.0,4.0,10:32:35.391,10:45:00.887,745.0,-128.0,2021-07-12,7192.0,-177.97552836484982,"(-184.524, -99.167]"
729,m2109,10,3584.0,3584.0,2.0,3584.0,4.0,21:06:07.155,21:06:07.155,0.0,0.0,2021-07-13,7168.0,0.0,"(-13.809, 71.549]"
3873,m2109,11,3592.0,3593.0,2.0,3584.0,4.0,21:06:07.155,2021-07-12 21:34:00.753,1673.0,-188.0,2021-07-13,7168.0,-262.2767857142857,"(-270.309, -184.524]"
14143,m2109,10,3599.0,3599.0,2.0,3599.0,4.0,09:07:25.740,09:07:25.740,0.0,0.0,2021-07-14,7198.0,0.0,"(-13.809, 71.549]"
14573,m2109,11,3593.0,3594.0,2.0,3599.0,4.0,09:07:25.740,2021-07-14 09:11:00.715,215.0,92.0,2021-07-14,7198.0,127.81328146707419,"(71.549, 156.907]"
