idx,instrument_id,direction,last_price,filled_price,filled_vol,open_price,fee,open_ts,close_ts,holding_time,return,trade_date,open_cost,return_ratio,return_cut
601,p2109,10,7624.0,7622.0,2.0,7622.0,10.0,21:05:00.066,21:05:00.066,0.0,0.0,2021-07-05,15244.0,0.0,"(-82.211, 88.384]"
3739,p2109,11,7592.0,7594.0,2.0,7622.0,10.0,21:05:00.066,2021-07-02 21:31:20.079,1580.0,540.0,2021-07-05,15244.0,354.2377328785096,"(258.98, 429.576]"
14255,p2109,00,7664.0,7664.0,2.0,7664.0,10.0,09:00:18.257,09:00:18.257,0.0,0.0,2021-07-05,15328.0,0.0,"(-82.211, 88.384]"
14419,p2109,01,7642.0,7642.0,2.0,7664.0,10.0,09:00:18.257,09:01:40.252,82.0,-460.0,2021-07-05,15328.0,-300.1043841336117,"(-424.256, -252.807]"
609,p2109,10,7658.0,7658.0,2.0,7658.0,10.0,21:05:04.428,21:05:04.428,0.0,0.0,2021-07-06,15316.0,0.0,"(-82.211, 88.384]"
2495,p2109,11,7636.0,7638.0,2.0,7658.0,10.0,21:05:04.428,2021-07-05 21:21:00.495,956.0,380.0,2021-07-06,15316.0,248.10655523635413,"(88.384, 258.98]"
6289,p2109,00,7682.0,7682.0,2.0,7682.0,10.0,21:53:36.449,21:53:36.449,0.0,0.0,2021-07-06,15364.0,0.0,"(-82.211, 88.384]"
7085,p2109,01,7716.0,7716.0,2.0,7682.0,10.0,21:53:36.449,22:00:20.501,404.0,660.0,2021-07-06,15364.0,429.5756313460036,"(258.98, 429.576]"
4559,p2109,10,7562.0,7560.0,2.0,7560.0,10.0,21:38:39.810,21:38:39.810,0.0,0.0,2021-07-09,15120.0,0.0,"(-82.211, 88.384]"
5155,p2109,11,7538.0,7538.0,2.0,7560.0,10.0,21:38:39.810,2021-07-08 21:43:40.333,301.0,420.0,2021-07-09,15120.0,277.77777777777777,"(258.98, 429.576]"
7383,p2109,00,7612.0,7614.0,2.0,7614.0,10.0,22:02:16.792,22:02:16.792,0.0,0.0,2021-07-09,15228.0,0.0,"(-82.211, 88.384]"
7871,p2109,01,7644.0,7644.0,2.0,7614.0,10.0,22:02:16.792,22:06:20.891,244.0,580.0,2021-07-09,15228.0,380.8773312319411,"(258.98, 429.576]"
885,p2109,10,7824.0,7822.0,2.0,7822.0,10.0,21:07:22.539,21:07:22.539,0.0,0.0,2021-07-12,15644.0,0.0,"(-82.211, 88.384]"
2939,p2109,11,7848.0,7850.0,2.0,7822.0,10.0,21:07:22.539,2021-07-09 21:24:40.037,1038.0,-580.0,2021-07-12,15644.0,-370.74916901048323,"(-424.256, -252.807]"
3735,p2109,10,7794.0,7794.0,2.0,7794.0,10.0,21:31:24.045,21:31:24.045,0.0,0.0,2021-07-12,15588.0,0.0,"(-82.211, 88.384]"
3927,p2109,11,7824.0,7826.0,2.0,7794.0,10.0,21:31:24.045,2021-07-09 21:33:00.019,96.0,-660.0,2021-07-12,15588.0,-423.4026173979984,"(-424.256, -252.807]"
611,p2109,10,7768.0,7766.0,2.0,7766.0,10.0,21:05:05.222,21:05:05.222,0.0,0.0,2021-07-13,15532.0,0.0,"(-82.211, 88.384]"
2599,p2109,11,7788.0,7790.0,2.0,7766.0,10.0,21:05:05.222,2021-07-12 21:22:00.751,1015.0,-500.0,2021-07-13,15532.0,-321.91604429564774,"(-424.256, -252.807]"
7575,p2109,10,7808.0,7806.0,2.0,7806.0,10.0,22:04:02.708,22:04:02.708,0.0,0.0,2021-07-14,15612.0,0.0,"(-82.211, 88.384]"
