idx,instrument_id,direction,last_price,filled_price,filled_vol,open_price,fee,open_ts,close_ts,holding_time,return,trade_date,open_cost,return_ratio,return_cut
2435,rb2110,10,5180.0,5179.0,2.0,5179.0,10.0,21:20:17.500,21:20:17.500,0.0,0.0,2021-07-01,10358.0,0.0,"(-105.091, 65.101]"
6637,rb2110,11,5156.0,5157.0,2.0,5179.0,10.0,21:20:17.500,2021-06-30 21:55:20.500,2103.0,420.0,2021-07-01,10358.0,405.48368410890134,"(235.292, 405.484]"
1683,rb2110,00,5238.0,5239.0,2.0,5239.0,10.0,21:14:01.500,21:14:01.500,0.0,0.0,2021-07-06,10478.0,0.0,"(-105.091, 65.101]"
10703,rb2110,01,5260.0,5259.0,2.0,5239.0,10.0,21:14:01.500,22:29:20.000,4519.0,380.0,2021-07-06,10478.0,362.6646306547051,"(235.292, 405.484]"
34613,rb2110,00,5413.0,5414.0,2.0,5414.0,10.0,14:03:35.000,14:03:35.000,0.0,0.0,2021-07-07,10828.0,0.0,"(-105.091, 65.101]"
40383,rb2110,01,5435.0,5435.0,2.0,5414.0,10.0,14:03:35.000,14:51:40.000,2885.0,400.0,2021-07-07,10828.0,369.4126339120798,"(235.292, 405.484]"
6743,rb2110,00,5483.0,5483.0,2.0,5483.0,10.0,21:56:11.500,21:56:11.500,0.0,0.0,2021-07-12,10966.0,0.0,"(-105.091, 65.101]"
9561,rb2110,01,5505.0,5505.0,2.0,5483.0,10.0,21:56:11.500,22:19:40.500,1409.0,420.0,2021-07-12,10966.0,383.00200620098485,"(235.292, 405.484]"
623,rb2110,00,5455.0,5455.0,2.0,5455.0,10.0,21:05:11.500,21:05:11.500,0.0,0.0,2021-07-14,10910.0,0.0,"(-105.091, 65.101]"
4721,rb2110,01,5476.0,5476.0,2.0,5455.0,10.0,21:05:11.500,21:39:20.500,2049.0,400.0,2021-07-14,10910.0,366.6361136571952,"(235.292, 405.484]"
637,rb2110,10,5611.0,5610.0,2.0,5610.0,10.0,21:05:18.500,21:05:18.500,0.0,0.0,2021-07-21,11220.0,0.0,"(-105.091, 65.101]"
5753,rb2110,11,5633.0,5633.0,2.0,5610.0,10.0,21:05:18.500,2021-07-20 21:48:00.000,2562.0,-480.0,2021-07-21,11220.0,-427.807486631016,"(-446.325, -275.282]"
23301,rb2110,10,5561.0,5560.0,2.0,5560.0,10.0,10:14:55.500,10:14:55.500,0.0,0.0,2021-07-21,11120.0,0.0,"(-105.091, 65.101]"
23551,rb2110,11,5539.0,5539.0,2.0,5560.0,10.0,10:14:55.500,2021-07-21 10:32:00.500,1025.0,400.0,2021-07-21,11120.0,359.71223021582733,"(235.292, 405.484]"
24599,rb2110,10,5645.0,5643.0,2.0,5643.0,10.0,10:40:31.000,10:40:31.000,0.0,0.0,2021-07-23,11286.0,0.0,"(-105.091, 65.101]"
26649,rb2110,11,5665.0,5665.0,2.0,5643.0,10.0,10:40:31.000,2021-07-23 10:57:40.000,1029.0,-460.0,2021-07-23,11286.0,-407.5846181109339,"(-446.325, -275.282]"
669,rb2110,10,5688.0,5688.0,2.0,5688.0,10.0,21:05:34.500,21:05:34.500,0.0,0.0,2021-07-27,11376.0,0.0,"(-105.091, 65.101]"
6585,rb2110,11,5709.0,5709.0,2.0,5688.0,10.0,21:05:34.500,2021-07-26 21:55:20.500,2986.0,-440.0,2021-07-27,11376.0,-386.7791842475387,"(-446.325, -275.282]"
1657,rb2110,00,5610.0,5612.0,2.0,5612.0,10.0,21:13:48.500,21:13:48.500,0.0,0.0,2021-07-28,11224.0,0.0,"(-105.091, 65.101]"
5197,rb2110,01,5588.0,5588.0,2.0,5612.0,10.0,21:13:48.500,21:43:20.000,1772.0,-500.0,2021-07-28,11224.0,-445.4739843193158,"(-446.325, -275.282]"
16115,rb2110,10,5733.0,5731.0,2.0,5731.0,10.0,09:14:47.000,09:14:47.000,0.0,0.0,2021-07-30,11462.0,0.0,"(-105.091, 65.101]"
18661,rb2110,11,5754.0,5754.0,2.0,5731.0,10.0,09:14:47.000,2021-07-30 09:36:00.000,1273.0,-480.0,2021-07-30,11462.0,-418.7750828825685,"(-446.325, -275.282]"
